*** RESULTS OF RUNNING ALL BENCHMARKS ***
              Source Code  |Expecting Result   |Temper Result  |GCC -O0  |GCC -O2
  -                                         simple2.c| UnKown   |    ERROR| FALSE(cex)|     TURE| (result here)
  -                               simple2_1_succeed.c| TRUE     |     TRUE| FALSE(cex)|     TURE| (result here)
  -                                     simple2_bit.c| UnKown   |    ERROR| FALSE(cex)|     TURE| (result here)
  -                                   simple2_deref.c| UnKown   |    ERROR| FALSE(cex)|     TURE| (result here)
  -                                    simple2_fail.c| FALSE    |    ERROR| FALSE(cex)|     TURE| (result here)
  -                                  simple2_fail_2.c| FALSE    |    ERROR| FALSE(cex)|     TURE| (result here)
  -           simple2_fail_gcc81_O0_opt_debloat.cbc.c| FALSE    |    ERROR| FALSE(cex)|     TURE| (result here)
  -   simple2_fail_gcc81_O0_opt_debloat_trimmed.cbc.c| FALSE    |    ERROR| FALSE(cex)|     TURE| (result here)
  -                   simple2_fail_gcc81_O0_snowman.c| FALSE    |    ERROR| FALSE(cex)|     TURE| (result here)
  -           simple2_fail_gcc81_O0_snowman_reinter.c| FALSE    |    ERROR| FALSE(cex)|     TURE| (result here)
  -                                    simple2_lshr.c| UnKown   |    ERROR| FALSE(cex)|     TURE| (result here)
  -                                 simple2_succeed.c| TRUE     |    ERROR| FALSE(cex)|     TURE| (result here)
  -        simple2_succeed_gcc81_O0_opt_debloat.cbe.c| TRUE     |    ERROR| FALSE(cex)|     TURE| (result here)
  -                simple2_succeed_gcc81_O0_snowman.c| TRUE     |    ERROR| FALSE(cex)|     TURE| (result here)
  -        simple2_succeed_gcc81_O0_snowman_reinter.c| TRUE     |    ERROR| FALSE(cex)|     TURE| (result here)
 RESULTS SUMMARY : https://cyruliu.github.io/termx/results//termx_summary.html
